                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5806,                 1.5199,                 1.3517,                0.52535,                0.46329,                0.42725,                 0.1823,                 1.8497,                 4.6206,                 1.4758,               0.000664,               0.000664,               0.000664
                      2,                 1.4449,                 1.3275,                 1.2576,                0.60642,                0.43797,                0.49501,                 0.2307,                 1.8398,                 4.7682,                 1.3334,              0.0013175,              0.0013175,              0.0013175
                      3,                 1.3729,                 1.2661,                 1.2168,                 0.5223,                0.37975,                0.39849,                0.19453,                 1.9333,                 3.1189,                 1.6037,              0.0019578,              0.0019578,              0.0019578
                      4,                 1.3269,                 1.2458,                  1.189,                0.75496,                0.58499,                0.70352,                0.35866,                 1.3887,                 2.1326,                    1.1,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2638,                 1.1115,                 1.1482,                0.72557,                0.63797,                0.77782,                 0.4672,                 1.0734,                  1.783,                0.92178,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2521,                 1.0998,                 1.1369,                0.75265,                0.60856,                0.74415,                0.44825,                  1.078,                   4.69,                0.96161,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.226,                 1.0803,                 1.1152,                0.70399,                0.70633,                0.77911,                0.49208,                 1.0626,                 1.1009,                0.90845,               0.001901,               0.001901,               0.001901
                      8,                 1.1838,                 1.0336,                 1.1046,                0.73486,                0.65063,                0.75652,                0.47195,                  1.101,                 1.6243,                0.91478,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1533,                0.99821,                 1.1016,                0.73894,                0.63544,                 0.7569,                 0.4514,                 1.1454,                 1.0395,                0.94538,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1619,                 1.0065,                 1.0902,                0.76362,                0.72658,                0.81187,                 0.5336,                0.95834,                0.90539,                0.89077,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.147,                0.97745,                 1.0854,                0.77768,                0.61013,                0.73817,                0.45271,                 1.0169,                 0.8779,                0.94951,              0.0018218,              0.0018218,              0.0018218
                     12,                  1.131,                0.96893,                 1.0757,                0.79511,                0.66808,                0.80433,                0.49584,                 1.0237,                0.94125,                 0.9059,               0.001802,               0.001802,               0.001802
                     13,                 1.0999,                0.92545,                 1.0559,                0.76208,                0.76224,                0.84049,                0.54862,                0.99814,                0.84267,                0.88672,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1115,                0.92547,                 1.0691,                0.75702,                0.70986,                0.80102,                0.51785,                0.92591,                 1.7541,                0.88198,              0.0017624,              0.0017624,              0.0017624
